,Delay OID,Description,Engine Stopped Flag,Field Notification Required Flag,Production Reporting Only Flag,Delay Class Name,Delay Class Category Name,Target Machine Name,Target Machine Class Name,Target Machine Class Description,Target Machine Class Category Name,Delay Start Timestamp (GMT8),Delay Finish Timestamp (GMT8),Delay Finish - Start
8426,10722213996, - [STOP_MACHINE : [AUTONOMY_OFF_BOARD_COMMUNICATIONS]],N,N,Y,4061 Unscheduled Technology Down (Health Event),Unscheduled Process Down,DT5286,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,27-07-2020 02:42,27-07-2020 02:42,20
8427,10722214153,Behind Delayed Machine,N,N,N,7410_Behind_Delayed_Machine,Unscheduled Process Down,DT5283,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,27-07-2020 02:42,27-07-2020 02:42,11
8428,10722214270,MACHINE GEN Started a delay: 2110_Operator_Hot_Seat,N,N,Y,2110_Operator_Hot_Seat,Scheduled Process Down,EX8044,LBH R996B,Liebherr R996 B Series Shovel,Shovel Classes,27-07-2020 02:42,27-07-2020 02:49,388
8429,10722214296, - [STOP_MACHINE : [AUTONOMY_OFF_BOARD_COMMUNICATIONS]],N,N,Y,4061 Unscheduled Technology Down (Health Event),Unscheduled Process Down,DT5236,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,27-07-2020 02:42,27-07-2020 02:42,4
8430,10722214897, - [STOP_MACHINE : [MACHINE_CONTROL]],N,N,Y,8200 Health Event,Unscheduled Equipment Down,DT5272,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,27-07-2020 02:43,27-07-2020 02:44,9
8431,10722216219,Daily Service,N,N,Y,2060_Relocation,Scheduled Process Down,EX8046,LBH R996B,Liebherr R996 B Series Shovel,Shovel Classes,27-07-2020 02:47,27-07-2020 02:50,187
8432,10722216610,,N,Y,Y,7440 Obstacle Detection,Unscheduled Process Down,DT5250,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,27-07-2020 02:47,27-07-2020 02:48,25
8433,10722216863,MACHINE GEN Started a delay: 2020_Refuelling,Y,N,N,2020_Refuelling,Scheduled Process Down,WL7039,WA1200,Komatsu 1200 Series Wheel Loader,Loader Classes,27-07-2020 02:48,27-07-2020 03:18,1800
8434,10722217775,MACHINE GEN Started a delay: 2020_Refuelling,Y,Y,N,2020_Refuelling,Scheduled Process Down,EX8046,LBH R996B,Liebherr R996 B Series Shovel,Shovel Classes,27-07-2020 02:50,27-07-2020 03:20,1800
8435,10722218219,,Y,Y,N,2020_Refuelling,Scheduled Process Down,DT5401,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,27-07-2020 02:51,27-07-2020 03:07,989
8436,10722219238,2W Insp ,N,Y,N,3000_Scheduled_Maintenance,Scheduled Equipment Down,EX8046,LBH R996B,Liebherr R996 B Series Shovel,Shovel Classes,27-07-2020 03:20,27-07-2020 03:29,536
8437,10722221066,,N,Y,Y,7440 Obstacle Detection,Unscheduled Process Down,DT5170,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,27-07-2020 02:57,27-07-2020 03:01,255
8438,10722229923,,N,N,Y,7440 Obstacle Detection,Unscheduled Process Down,DT5211,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,27-07-2020 03:01,27-07-2020 03:01,16
8439,10722237139,,N,N,Y,7420 Waiting For Permissions,Unscheduled Process Down,DT5226,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,27-07-2020 03:02,27-07-2020 03:02,14
8440,10722238601,(D) POS 5 TYRE SEPARATION,Y,Y,N,5010_Damage,Unscheduled Equipment Down,DT5226,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,27-07-2020 03:02,27-07-2020 08:30,19646
8441,10722238934,,Y,Y,N,4070_Wait_on_Access,Unscheduled Process Down,DT5276,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,27-07-2020 03:04,27-07-2020 03:06,106
8442,10722239557,,N,N,Y,7470 Office Machine Lock (Single Truck),Unscheduled Process Down,DT5276,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,27-07-2020 03:06,27-07-2020 03:06,14
8443,10722239703,MACHINE GEN Started a delay: 4010_Relocation,N,N,Y,4010_Relocation,Unscheduled Process Down,WL7030,994H,Wheel Loader,Loader Classes,27-07-2020 03:06,27-07-2020 03:26,1219
8444,10722239877,MACHINE GEN Started a delay: 4000_No_Operator,Y,Y,N,4000_No_Operator,Unscheduled Process Down,WL6301,Cat992K,Caterpillar 992 K Series Wheel Loader,Loader Classes,27-07-2020 03:06,27-07-2020 03:28,1306
8445,10722240409,MACHINE GEN Started a delay: 2020_Refuelling,Y,N,N,2020_Refuelling,Scheduled Process Down,WL6013,Cat992K,Caterpillar 992 K Series Wheel Loader,Loader Classes,27-07-2020 03:09,27-07-2020 03:16,429
8446,10722241546, - [STOP_MACHINE : [STEERING_CHARGING]],N,N,Y,8200 Health Event,Unscheduled Equipment Down,DT5308,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,27-07-2020 03:12,27-07-2020 03:13,20
8447,10722241706, - [STOP_MACHINE : [STEERING_CHARGING]],N,N,Y,8200 Health Event,Unscheduled Equipment Down,DT5308,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,27-07-2020 03:13,27-07-2020 03:13,11
8448,10722241757, - [STOP_MACHINE : [STEERING_CHARGING]],N,N,Y,8200 Health Event,Unscheduled Equipment Down,DT5308,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,27-07-2020 03:13,27-07-2020 03:13,10
8449,10722241794, - [STOP_MACHINE : [STEERING_CHARGING]],N,N,Y,8200 Health Event,Unscheduled Equipment Down,DT5308,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,27-07-2020 03:13,27-07-2020 03:14,19
8450,10722241872, - [STOP_MACHINE : [STEERING_CHARGING]],N,N,Y,8200 Health Event,Unscheduled Equipment Down,DT5308,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,27-07-2020 03:14,27-07-2020 03:14,22
8451,10722242229,Lanes,N,Y,Y,7210 Unscheduled Process Downtime Autonomous,Unscheduled Process Down,DT5308,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,27-07-2020 03:15,27-07-2020 03:15,18
8452,10722242341,,N,Y,N,4080_Wait_on_Dump,Unscheduled Process Down,DT5220,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,27-07-2020 03:15,27-07-2020 03:31,921
8453,10722242806,2202,N,Y,Y,4020_Wait_on_Equipment,Unscheduled Process Down,DT5308,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,27-07-2020 03:15,27-07-2020 03:19,251
8454,10722246687, - [STOP_MACHINE : [STEERING_CHARGING]],N,N,Y,8200 Health Event,Unscheduled Equipment Down,DT5308,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,27-07-2020 03:19,27-07-2020 03:20,8
8455,10722246972,lane,N,Y,Y,7210 Unscheduled Process Downtime Autonomous,Unscheduled Process Down,DT5308,CAT 793F CMD,Caterpillar 793 F Autonomous Mining Truck,Truck Classes,27-07-2020 03:21,27-07-2020 03:23,131
